senseval2.d000.s000.t000	1) the products of human creativity; works of art collectively.
senseval3.d000.s120.t011	1) the front of the human head from the forehead to the chin and ear to ear.This definition is the most suitable
senseval3.d000.s120.t012	Among the given options, the most suitable definition for "bright" in the context of the sentence is:8) clear and
senseval3.d000.s120.t013	1) the organ of sightThis definition is the most suitable because it directly refers to the physical part of the human body
senseval3.d000.s121.t000	1) interrupt temporarily an activity before continuing.
senseval3.d000.s121.t001	1) make moist
senseval3.d000.s121.t002	1) the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone
senseval3.d000.s121.t003	2) an individual that one is not acquainted with.This definition best fits the context of the sentence, where the speaker is
senseval3.d000.s121.t004	2) break into a conversationIn this context, "broke in" means to interrupt or join in a conversation that
senseval3.d000.s122.t000	1) give money, usually in exchange for goods or services.
senseval3.d000.s122.t001	2) an itemized statement of money owed for goods shipped or services rendered
senseval3.d000.s123.t001	1) not the same one or ones already mentioned or implied; - the White Queen
senseval3.d000.s123.t002	3) someone who serves in the armed forces; a member of a military force.However, given the context of the sentence
senseval3.d000.s123.t004	6) speak, pronounce, or utter in a certain way.In this context, "say" is used to express a
senseval3.d000.s123.t005	2) get a divorce; formally terminate a marriage.This definition directly refers to the meaning of "divorce" as the
senseval3.d000.s125.t000	2) a person (usually but not necessarily a woman) who is thoroughly disliked.In this context, "bitch"
senseval3.d000.s125.t001	I would choose definition 1) have a great affection or liking for.In this context, the word "love" is
senseval3.d000.s126.t000	The most suitable dictionary definition which identifies the meaning of "get" among the given options is:1) come into the possession
senseval3.d000.s126.t001	1) one of two equal parts of a divisible whole
senseval3.d000.s126.t002	1) have or possess, either in a concrete or an abstract sense.This definition is the most suitable for the sentence "
senseval3.d000.s127.t001	2) an agreement between parties (usually arrived at after discussion) fixing obligations of each.In this context, "deal"
senseval3.d000.s128.t001	1) a commercial or industrial enterprise and the people who constitute it.This definition most accurately identifies the meaning of "business"
senseval3.d000.s128.t003	2) any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a
senseval3.d000.s130.t000	2) lower and raise the head, as to indicate assent or agreement or confirmation.
senseval3.d000.s132.t000	1) perceive by sight or have the power to perceive by sight
senseval3.d000.s133.t000	1) know and comprehend the nature or meaning of
senseval3.d000.s133.t001	2) the way something is with respect to its main attributes.In the sentence, "state" is used to describe the
senseval3.d000.s134.t000	1) move toward, travel toward something or somebody or approach something or somebody.
senseval3.d000.s134.t001	1) go into retirement; stop performing one's work or withdraw from one's position
senseval3.d000.s135.t000	2) carry out or perform an action.In the sentence, "do" is used as a verb, indicating the action
senseval3.d000.s135.t001	1) able to act at will; not hampered; not under compulsion or restraint
senseval3.d000.s135.t002	1) the principal activity in your life that you do to earn money.
senseval3.d000.s136.t000	6) inform positively and with certainty and confidence.The sentence "You should have told me about her before" implies that the
senseval3.d000.s137.t000	3) perceive by a physical sensation, e.g., coming from the skin or muscles.In this sentence, "felt"
senseval3.d000.s137.t001	1) a sudden sharp feeling.This definition captures the idea of a brief, fleeting feeling of annoyance or irritation, which is
senseval3.d000.s137.t002	1) the psychological state of being irritated or annoyed.
senseval3.d000.s137.t003	1) perceive (sound) via the auditory sense.
senseval3.d000.s137.t004	1) well known or easily recognized
senseval3.d000.s138.t000	12) without civilizing influences; (Margaret Meade)
senseval3.d000.s138.t001	1) the content of cognition; the main thing you are thinking about.
senseval3.d000.s138.t004	3) mentally disorderedIn this context, "clouded" is used to describe someone's mental state, implying that
senseval3.d000.s138.t005	3) that which is responsible for one's thoughts and feelings; the seat of the faculty of reasonThis definition most accurately
senseval3.d000.s139.t000	1) express a suppositionHowever, the word "Suppose" in the given sentence is more closely related to option
senseval3.d000.s139.t001	2) expect, believe, or suppose.This definition encompasses the meaning of "suppose" as expressing a hypothetical or uncertain
senseval3.d000.s139.t002	1) an informal term for a youth or man
senseval3.d000.s139.t003	8) utter aloud.The sentence implies that the speaker is quoting or repeating what the guy supposedly said, and the word "
senseval3.d000.s140.t001	1) engaged in a profession or engaging in as a profession or means of livelihood
senseval3.d000.s140.t002	1) someone who causes the death of a person or animal.
senseval3.d000.s141.t000	1) usually large hard-shelled seed
senseval3.d000.s141.t001	3) the act of damaging something or someoneIn the given sentence, "harm" is used to mean causing damage
senseval3.d000.s141.t002	2) carry out or perform an action.
senseval3.d000.s142.t001	2) carry out or perform an action.
senseval3.d000.s143.t000	5) have a feeling or perception about oneself in reaction to someone's behavior or attitude.In this context, "felt"
senseval3.d000.s143.t001	2) marked by skill in deception.
senseval3.d000.s143.t002	1) feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride
senseval3.d000.s143.t003	The most suitable dictionary definition for the word "played" in the sentence is:2) act or have an effect in a
senseval3.d000.s143.t004	1) not the same one or ones already mentioned or implied; - the White QueenIn the given sentence, "other
senseval3.d000.s143.t005	3) the generic use of the word to refer to any human being.
senseval3.d000.s143.t006	1) a place of especial vulnerability
senseval3.d000.s144.t000	1) a lack of politeness; a failure to show regard for others; wounding the feelings or others
senseval3.d000.s144.t001	3) mean or intend to express or convey.
senseval3.d000.s144.t002	6) speak, pronounce, or utter in a certain way.In this sentence, "said" is used as a verb
senseval3.d000.s146.t001	2) regard as untrustworthy; regard with suspicion; have no faith or confidence in
senseval3.d000.s146.t002	12) a separate and self-contained entity.In this context, "thing" is used to refer to an object or a
senseval3.d000.s146.t003	2) expect, believe, or suppose
senseval3.d000.s146.t004	3) the temporal property of two things happening at the same time.In the given sentence, the speaker is expressing that the
senseval3.d000.s147.t000	1) be cognizant or aware of a fact or a specific piece of information; possess knowledge or information aboutThis
senseval3.d000.s150.t000	6) speak, pronounce, or utter in a certain way.
senseval3.d000.s150.t001	1) be successful; achieve a goal
senseval3.d000.s151.t000	Both definitions 1 and 2 are suitable, but definition 2 is more commonly used and accepted in modern English. Therefore
senseval3.d000.s151.t001	9) to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)In this context
senseval3.d000.s152.t000	1) the organ of sight
senseval3.d000.s152.t001	2) shine intensely, as if with heatIn this context, "burned" is being used to describe the intensity
senseval3.d000.s153.t000	2) make complaining remarks or noises under one's breath
senseval3.d000.s154.t001	2) give a certain impression or have a certain outward aspect.This definition best describes the meaning of "looked" in
senseval3.d000.s155.t001	10) doing as one pleases or chooses.In the given sentence, "I always work it that way" implies a
senseval3.d000.s155.t002	5) the continuum of experience in which events pass from the future through the past
senseval3.d000.s155.t004	1) have or possess, either in a concrete or an abstract sense
senseval3.d000.s155.t005	1) (law) a defense by an accused person purporting to show that he or she could not have committed the
senseval3.d000.s156.t000	1) make it possible through a specific action or lack of action for something to happen
senseval3.d000.s156.t001	2) establish the validity of something, as by an example, explanation or experiment.This definition captures the meaning of "prove
senseval3.d000.s157.t000	2) expect, believe, or supposeThis definition captures the meaning of "think" as to mentally consider or ponder something
senseval3.d000.s157.t002	1) an act of gracious kindness
senseval3.d000.s158.t000	1) stay in one place and anticipate or expect something.
senseval3.d000.s159.t001	1) an alcoholic beverage that is distilled rather than fermented.
senseval3.d000.s159.t002	1) the lower side of anything
senseval3.d000.s159.t003	2) a container for holding liquids while drinking.
senseval3.d001.s000.t000	2) an overwhelming defeat
senseval3.d001.s000.t004	3) give support or one's approval to.
senseval3.d001.s000.t005	2) belong to or relating to the Democratic Party
senseval3.d001.s000.t006	1) relating to a president or presidency.
senseval3.d001.s000.t007	1) a politician who is running for public office
senseval3.d001.s000.t008	1) a message that helps you remember something.
senseval3.d001.s000.t009	1) national; especially in reference to the government of the United States as distinct from that of its member units.This definition
senseval3.d001.s000.t010	None of the options provided directly match the meaning of "level" in the given sentence. However, the closest match would be
senseval3.d001.s000.t011	2) of or relating to your views about social relationships involving authority or power.This definition captures the meaning of "political"
senseval3.d001.s000.t013	1) earlier than the present time; no longer current.This definition fits the context of the sentence, where it is referring
senseval3.d001.s001.t000	1) relating to a president or presidency
senseval3.d001.s001.t001	1) a vote to select the winner of a position or political office.
senseval3.d001.s001.t002	1) a period of time containing 365 (or 366) days
senseval3.d001.s001.t004	1) a politically organized body of people under a single government.This definition best fits the context of the sentence, as it
senseval3.d001.s001.t007	1) pick out, select, or choose from a number of alternatives
senseval3.d001.s001.t009	1) an organization to gain political power
senseval3.d001.s001.t010	1) a politician who is running for public office.
senseval3.d001.s002.t000	1) a proportion in relation to a whole (which is usually the amount per hundred)This definition is the most suitable because
senseval3.d001.s002.t001	1) be identical or equivalent to
senseval3.d001.s003.t000	1) be cognizant or aware of a fact or a specific piece of information; possess knowledge or information aboutThis
senseval3.d001.s003.t002	1) have a tendency or disposition to do or be something; be inclinedThis definition of "tend" is the
senseval3.d001.s003.t003	1) promote over another.
senseval3.d001.s003.t004	1) a member of the Republican Party
senseval3.d001.s003.t005	3) people who are believed to belong to the same genetic stock.This definition is the most suitable because in the given sentence
senseval3.d001.s003.t006	2) the person who holds the office of head of state of the United States government
senseval3.d001.s004.t000	1) relating to a president or presidency.
senseval3.d001.s004.t001	1) a vote to select the winner of a position or political office
senseval3.d001.s004.t002	1) earlier than the present time; no longer current.
senseval3.d001.s004.t004	1) relating to a president or presidency.
senseval3.d001.s004.t007	1) a proportion in relation to a whole (which is usually the amount per hundred)
senseval3.d001.s004.t008	1) of greater importance or stature or rankIn this context, "major" refers to something that is more significant or
senseval3.d001.s004.t009	1) an organization to gain political power
senseval3.d001.s004.t010	1) regarded with great favor, approval, or affection especially by the general public
senseval3.d001.s004.t011	1) a choice that is made by counting the number of people in favor of each alternative.
senseval3.d001.s004.t012	2) the person who holds the office of head of state of the United States government.
senseval3.d001.s004.t014	7) the legal right to sit as a member in a legislative or similar body.In this context, "seats"
senseval3.d001.s004.t015	1) regarded with great favor, approval, or affection especially by the general public
senseval3.d001.s004.t016	1) a choice that is made by counting the number of people in favor of each alternative.
senseval3.d001.s005.t001	1) a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms
senseval3.d001.s006.t000	1) be the reason or explanation for
senseval3.d001.s006.t001	1) a phenomenon that follows and is caused by some previous phenomenon.This definition captures the meaning of "results" as something
senseval3.d001.s006.t002	2) of the immediate past or just previous to the present time.This definition of "recent" best matches the context of
senseval3.d001.s006.t003	1) a period of 10 years
senseval3.d001.s007.t000	1) having few parts; not complex or complicated or involved.This definition best fits the context of the sentence, as "
senseval3.d001.s007.t004	1) being or affecting only a part; not total
senseval3.d001.s007.t007	1) to show, make visible or apparent.
senseval3.d001.s007.t008	1) a native or inhabitant of the United States
senseval3.d001.s008.t002	1) a statement that is assumed to be true and from which a conclusion can be drawn
senseval3.d001.s009.t002	1) a name given to a product or service.In the given sentence, "brands" refers to labels or names given
senseval3.d001.s009.t004	3) of or relating to the profession of governing.This definition is the most suitable for the sentence because "political" refers
senseval3.d001.s009.t005	2) a representative who acts on behalf of other persons or organizations.
senseval3.d001.s009.t006	1) relating to or belonging to the Republican Party
senseval3.d001.s009.t007	1) a name given to a product or service.
senseval3.d001.s009.t009	2) advocating minimal reforms (as in government or politics).
senseval3.d001.s009.t010	1) the territory occupied by one of the constituent administrative districts of a nationThis definition is the most suitable for the context
senseval3.d001.s009.t011	4) a particular moral excellence
senseval3.d001.s009.t012	4) not expressedThe sentence is referring to private markets, which implies that the government is not directly involved or controlling the
senseval3.d001.s009.t013	1) the world of commercial activity where goods and services are bought and sold
senseval3.d001.s009.t014	2) a specific form of evildoing.In this context, "vices" refers to specific forms of wrongdoing or
senseval3.d001.s009.t015	1) not private; open to or concerning the people as a whole.
senseval3.d001.s009.t016	3) a military engagement
senseval3.d001.s009.t017	3) representing or appealing to or adapted for the benefit of the people at largeThis definition captures the meaning of "Democratic
senseval3.d001.s009.t018	1) a name given to a product or service.This definition best fits the context of the sentence, where "brand"
senseval3.d001.s009.t022	1) not private; open to or concerning the people as a whole.This definition most accurately captures the meaning of "public
senseval3.d001.s009.t023	3) the act or fact of interposing one thing between or among others.In this sentence, "intervention" refers
senseval3.d001.s009.t024	2) provide relief forThis definition of "remedy" is the most suitable for the given sentence, as it indicates
senseval3.d001.s009.t025	2) immoderation as a consequence of going beyond sufficient or permitted limits.
senseval3.d001.s009.t026	2) following or accompanying as a consequenceIn this sentence, "attendant" refers to the consequences or results of something
senseval3.d001.s009.t027	2) a search for an alternative that meets cognitive criteria
senseval3.d001.s009.t028	2) concerning things deeply private and personal.In the given sentence, "private" is used to describe the virtues of private
senseval3.d001.s009.t029	2) a reason for wanting something done.This definition best fits the context of the sentence, as it refers to the motivations
senseval3.d001.s010.t001	3) a member of the United States House of Representatives.
senseval3.d001.s010.t002	1) have or possess, either in a concrete or an abstract sense.
senseval3.d001.s010.t004	3) a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's
senseval3.d001.s010.t005	1) express one's preference for a candidate or for a measure or resolution; cast a vote
senseval3.d001.s010.t006	2) an administrative unit of government.This definition accurately captures the meaning of "office" in the given sentence, as it
senseval3.d001.s010.t007	3) take action with respect to (someone or something).
senseval3.d001.s010.t008	1) of or relating to or belonging to a nation or country
senseval3.d001.s010.t009	1) an important question that is in dispute and must be settled
senseval3.d001.s010.t010	1) something done (usually as opposed to something said)This definition best matches the meaning of "actions" in the given
senseval3.d001.s010.t011	4) throw forcefully
senseval3.d001.s010.t013	1) a choice that is made by counting the number of people in favor of each alternative.
senseval3.d001.s010.t014	1) law enacted by a legislative body.
senseval3.d001.s010.t015	1) compel to behave in a certain way
senseval3.d001.s010.t016	3) value measured by what must be given or done or undergone to obtain somethingIn this context, "costs"
senseval3.d001.s010.t017	2) present
senseval3.d001.s010.t018	2) something that aids or promotes well-being.
senseval3.d001.s010.t019	1) the people who inhabit a territory or state.
senseval3.d001.s010.t020	1) get down to; pay attention to; take seriously
senseval3.d001.s010.t021	2) of or belonging to or characteristic of a particular locality or neighborhood.
senseval3.d001.s010.t022	1) an important question that is in dispute and must be settled.This definition best fits the context of the sentence, where
senseval3.d001.s010.t024	15) the performance of duties by a waiter or servant
senseval3.d001.s011.t000	1) relating to or belonging to the Republican Party.
senseval3.d001.s011.t002	3) a member of the United States House of Representatives
senseval3.d001.s011.t003	1) any cognitive content held as trueThis definition best fits the context of the sentence, where the authors' "belief
senseval3.d001.s011.t004	2) advocating minimal reforms (as in government or politics)This definition best captures the meaning of "minimalist" in the
senseval3.d001.s011.t005	1) the territory occupied by one of the constituent administrative districts of a nation
senseval3.d001.s011.t006	1) disposed or inclined towardIn the sentence, "willing" means having a tendency or inclination towards something, in
senseval3.d001.s011.t007	1) carry out or participate in an activity; be involved in.In the given sentence, "engage" means to participate
senseval3.d001.s011.t008	1) relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area.
senseval3.d001.s011.t009	2) belong to or relating to the Democratic PartyThis definition most accurately captures the meaning of "Democratic" in the given
senseval3.d001.s011.t010	1) one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)In
senseval3.d001.s012.t000	1) a statement that is assumed to be true and from which a conclusion can be drawn
senseval3.d001.s012.t001	15) be valid, applicable, or true.In the given sentence, "hold" is used to mean "be true
senseval3.d001.s012.t003	4) (biology) a taxonomic group that is a division of a species; usually arises as a consequence of geographical isolation
senseval3.d001.s012.t004	9) cover the front or surface of
senseval3.d001.s012.t007	1) have or possess, either in a concrete or an abstract sense
senseval3.d001.s012.t008	1) a positive motivational influenceThe sentence implies that voters have a motivation to lean Democratic, so the definition that refers to
senseval3.d001.s012.t010	3) have a tendency or disposition to do or be something; be inclined.In this context, "lean" means to
senseval3.d001.s012.t011	2) belong to or relating to the Democratic Party
senseval3.d001.s013.t000	2) cause to be in a certain state; cause to be in a certain relation.In this sentence, "put"
senseval3.d001.s013.t001	2) an administrative unit of government.This definition best fits the context of the sentence, as it refers to a position of
senseval3.d001.s013.t002	5) win something through one's effortsIn the given sentence, "acquire" means to obtain or gain something,
senseval3.d001.s013.t003	2) of or belonging to or characteristic of a particular locality or neighborhood.In the given sentence, "local" refers to
senseval3.d001.s013.t004	2) something that aids or promotes well-being.This definition best captures the meaning of "benefits" in the context of
senseval3.d001.s013.t007	2) stop (someone or something) from doing something or being in a certain state.In this sentence, "prevent"
senseval3.d001.s013.t008	3) belonging to the distant pastIn this context, "other" is used to refer to legislators from a different party
senseval3.d001.s013.t010	2) supply means of subsistence; earn a living.
senseval3.d001.s014.t001	2) be relevant to.In the given sentence, "comes" is used to indicate that the legislator is just one
senseval3.d001.s014.t002	1) of or relating to a nation or country
senseval3.d001.s014.t003	2) a line of argument rationalizing the course of action of a governmentThis definition best matches the context of the sentence
senseval3.d001.s014.t004	1) the act that results in something coming to be.This definition is the most suitable because in the sentence, "making
senseval3.d001.s015.t000	1) any competition
senseval3.d001.s015.t002	1) a positive motivational influence.
senseval3.d001.s015.t004	3) have a tendency or disposition to do or be something; be inclinedIn this context, "lean" is used
senseval3.d001.s016.t000	2) the person who holds the office of head of state of the United States government.
senseval3.d001.s016.t001	1) place limits on (extent or access)This definition best fits the context of the sentence, as it implies setting boundaries
senseval3.d001.s016.t002	1) relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area
senseval3.d001.s016.t003	2) something that aids or promotes well-beingIn this context, "benefits" refers to advantages or positive outcomes that
senseval3.d001.s016.t005	1) unique or specific to a person or thing or category
senseval3.d001.s016.t008	2) the person who holds the office of head of state of the United States government.
senseval3.d001.s016.t009	1) has a good chance of being the case or of coming about
senseval3.d001.s016.t010	2) able to accomplish a purpose; functioning effectively; -G.B.Shaw
senseval3.d001.s016.t011	2) stop (someone or something) from doing something or being in a certain state.The sentence implies that a GOP president
senseval3.d001.s016.t012	2) recently past
senseval3.d001.s016.t016	1) relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area
senseval3.d001.s016.t017	2) something that aids or promotes well-beingThis definition of "benefits" is most suitable for the context of the
senseval3.d001.s017.t000	1) being or characteristic of a single thing or person.
senseval3.d001.s017.t002	3) the act of assuming or maintaining an erect upright position.In this context, "standing" refers to the physical act
senseval3.d001.s017.t003	2) make better or more attractive
senseval3.d001.s018.t001	1) having few parts; not complex or complicated or involved.This definition best captures the meaning of "simple" in the
senseval3.d001.s018.t002	4) seem to be true, probable, or apparent.This definition best captures the meaning of "appears" in the
senseval3.d001.s018.t003	1) make plain and comprehensible
senseval3.d001.s018.t004	2) considered individually.This definition of "several" is the most suitable for the context of the sentence, as it
senseval3.d001.s018.t005	12) a separate and self-contained entity.This definition best fits the context of the sentence, as "things" is being
senseval3.d001.s019.t000	1) become bigger or greater in amountThe sentence implies that the rate or extent of ticket splitting has become greater or more
senseval3.d001.s019.t001	1) carry out
senseval3.d001.s019.t004	1) earlier than the present time; no longer current.This definition is more suitable for the context of the sentence, as
senseval3.d001.s019.t006	1) a vote to select the winner of a position or political office
senseval3.d001.s019.t007	2) the person who holds the office of head of state of the United States government.
senseval3.d001.s019.t008	1) arrival that has been awaited (especially of something momentous)
senseval3.d001.s019.t009	1) the organization that is the governing authority of a political unit
senseval3.d001.s019.t010	2) live (in a certain place)This definition best fits the context of the sentence, as "occupied" in this
senseval3.d001.s019.t011	1) the actions and activities assigned to or required or expected of a person or group
senseval3.d001.s019.t012	1) an extended social group having a distinctive cultural and economic organization
senseval3.d001.s019.t013	1) a state of difficulty that needs to be resolved.This definition best fits the context of the sentence, as it refers
senseval3.d001.s019.t014	2) deal with (something unpleasant) head on.This definition of "confronting" fits the context of the sentence
senseval3.d001.s019.t016	3) people who are believed to belong to the same genetic stock.In this context, "races" refers to the
senseval3.d001.s020.t000	3) serve as a reason or cause or justification ofThe sentence is stating that Congress is generally loved by the constituents because
senseval3.d001.s020.t002	The most suitable dictionary definition which identifies the meaning of "hold" in the given sentence is:1) keep in a certain
senseval3.d001.s020.t003	1) lack of respect accompanied by a feeling of intense dislike.
senseval3.d001.s020.t004	1) have a great affection or liking for
senseval3.d001.s020.t007	1) a person who represents others
senseval3.d001.s020.t008	1) being or characteristic of a single thing or person
senseval3.d001.s020.t010	2) a member of a constituency; a citizen who is represented in a government by officials for whom he or she votes.
senseval3.d001.s020.t011	1) recognize with gratitude; be grateful for
senseval3.d001.s020.t012	1) (sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique.This definition
senseval3.d001.s020.t013	2) something that aids or promotes well-being.This definition most accurately describes the concept of "benefits" in the given
senseval3.d001.s020.t015	2) win something through one's effortsThis definition best fits the context of the sentence, as it implies that the legisl
senseval3.d001.s020.t016	2) including everything.
senseval3.d001.s020.t017	3) value measured by what must be given or done or undergone to obtain somethingIn this context, "cost" refers
senseval3.d001.s020.t019	4) very unusual; different in character or quality from the normal or expected; - Lance MorrowThis definition best fits the
senseval3.d001.s020.t021	The most suitable dictionary definition that identifies the meaning of "doing" in the sentence is:2) carry out or perform an
senseval3.d001.s021.t001	3) imply as a possibilityThe word "suggests" implies that something is hinted at or implies a possibility, rather
senseval3.d001.s021.t004	1) of or relating to a nation or country
senseval3.d001.s021.t005	2) a line of argument rationalizing the course of action of a government.In this context, the sentence is referring to
senseval3.d001.s021.t006	1) the act that results in something coming to beIn the given sentence, "making" is used to describe the
senseval3.d001.s021.t007	1) estimated by comparison; not absolute or complete.In this sentence, "relative" is used to indicate a comparison between
senseval3.d001.s021.t008	1) relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area
senseval3.d001.s021.t009	1) have or possess, either in a concrete or an abstract sense
senseval3.d001.s021.t011	2) an administrative unit of government.This definition best fits the context of the sentence, as it refers to the role or
senseval3.d001.s022.t002	1) one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)This
senseval3.d001.s022.t003	1) susceptible to attackIn this sentence, "vulnerable" means that the first-term members of the House have become
senseval3.d001.s022.t005	2) undergo a change or development.The sentence implies that the first-term members of the House, who were initially vulnerable,
senseval3.d001.s022.t006	4) (usually followed by 'to') not affected by a given influenceIn this sentence, "immune" means that
senseval3.d001.s022.t007	1) an unsuccessful ending to a struggle or contest.This definition most accurately captures the meaning of "defeat" in the
senseval3.d001.s023.t000	2) an instance that does not conform to a rule or generalization.In this sentence, "exception" refers to a
senseval3.d001.s023.t002	1) a general direction in which something tends to move
senseval3.d001.s023.t003	1) an unsuccessful ending to a struggle or contest.
senseval3.d001.s023.t004	2) any new participant in some activity.In this context, "freshman" refers to a new member of a party
senseval3.d001.s023.t005	1) a member of the Republican Party
senseval3.d001.s023.t006	4) go or come after and bring or take back.In this context, "brought" is used as a verb
senseval3.d001.s023.t007	2) an administrative unit of government.This definition best fits the context of the sentence, as it refers to a position or
senseval3.d001.s023.t008	1) a drastic and far-reaching change in ways of thinking and behaving.
senseval3.d001.s023.t009	The most suitable dictionary definition for the word "running" in the given sentence is:1) move fast by using one's
senseval3.d001.s024.t000	1) a first-year undergraduate
senseval3.d001.s024.t001	2) place somebody in a particular situation or locationThis definition best fits the sentence, as it indicates that the freshmen were
senseval3.d001.s024.t002	1) special importance or significance
senseval3.d001.s024.t004	1) the actions and activities assigned to or required or expected of a person or group.
senseval3.d001.s024.t005	1) distribute or disperse widelyThis definition best captures the meaning of "spreading" in the given sentence, as
senseval3.d001.s024.t006	1) a drastic and far-reaching change in ways of thinking and behaving.
senseval3.d001.s024.t007	1) of or relating to a nation or country
senseval3.d001.s024.t008	2) a line of argument rationalizing the course of action of a government.In this sentence, "policy" refers to
senseval3.d001.s024.t009	1) the act that results in something coming to beIn the given sentence, "making" refers to the process or
senseval3.d001.s025.t002	3) to state or express brieflyThis definition best fits the meaning of "indicates" in the sentence, as it
senseval3.d001.s025.t006	2) be attractive to
senseval3.d001.s025.t008	2) someone who is considered for something (for an office or prize or honor etc.)
senseval3.d001.s025.t010	2) an administrative unit of government.This definition best fits the context of the sentence, as "office" is referring to
senseval3.d001.s026.t000	2) expected to become or be; in prospect.
senseval3.d001.s026.t001	Both options 1 and 2 are suitable definitions, but I would choose option 2) someone who is considered for something
senseval3.d001.s026.t002	2) deprive of courage or hope; take away hope from; cause to feel discouraged.This definition best matches the meaning
senseval3.d001.s026.t003	9) run, stand, or compete for an office or a position
senseval3.d001.s026.t006	1) the possibility of future success
senseval3.d001.s026.t007	1) an unsuccessful ending to a struggle or contest.
senseval3.d001.s026.t009	2) belong to or relating to the Democratic Party
senseval3.d001.s026.t010	1) a contestant that you are matched against
senseval3.d001.s027.t000	1) the point or degree to which something extends.In the given sentence, "extent" refers to the degree or degree
senseval3.d001.s027.t001	2) expected to become or be; in prospect.This definition captures the meaning of "potential" in the context of the
senseval3.d001.s027.t002	1) a politician who is running for public office.
senseval3.d001.s027.t004	1) be fully aware or cognizant of
senseval3.d001.s027.t007	3) have an effect or outcome; often the one desired or expected.In this sentence, "works" means that the
senseval3.d001.s027.t009	2) hinder or prevent the progress or accomplishment of.This definition most accurately captures the meaning of "hinder" in the
senseval3.d001.s027.t010	1) earnest and conscientious activity intended to do or accomplish something.
senseval3.d001.s027.t011	1) involving competition or competitivenessThis definition is the most suitable because the sentence is describing a situation where the Republican Party is
senseval3.d001.s027.t012	4) a list of candidates nominated by a political party to run for election to public offices.
senseval3.d001.s027.t014	1) a politician who is running for public office.
senseval3.d001.s028.t003	1) being or affecting only a part; not total.
senseval3.d001.s028.t004	2) an explanation of the cause of some phenomenon.
senseval3.d001.s029.t000	1) the point or degree to which something extendsIn this sentence, "extent" refers to the degree or degree to
senseval3.d001.s029.t001	2) belong to or relating to the Democratic Party
senseval3.d001.s029.t003	1) keep in a certain state, position, or activity; e.g., This definition best matches the meaning of "
senseval3.d001.s029.t005	4) the part played by a person in bringing about a result.In this context, "share" refers to the proportion
senseval3.d001.s029.t006	1) possession of controlling influence
senseval3.d001.s029.t007	1) (usually followed by `to') having the necessary means or skill or know-how or authority to do something
senseval3.d001.s029.t008	6) be equivalent in effect.In this sentence, "translate" means to change something into a different form or expression,
senseval3.d001.s029.t010	2) of or belonging to or characteristic of a particular locality or neighborhood.This definition best describes the meaning of "local"
senseval3.d001.s029.t011	2) something that aids or promotes well-being.This definition fits the context of the sentence, where "benefits" refers
senseval3.d001.s029.t015	1) have or possess, either in a concrete or an abstract sense
senseval3.d001.s029.t016	1) having strength or power greater than average or expected
senseval3.d001.s029.t017	1) a positive motivational influenceThe context of the sentence suggests that the strong incentive for voters to keep Democrats in office is
senseval3.d001.s029.t018	20) maintain for use and serviceIn this sentence, "keep" means to maintain or retain something, in this case
senseval3.d001.s029.t020	1) a member of the Democratic Party
senseval3.d001.s029.t021	4) (of a government or government official) holding an office means being in powerThis definition best captures the meaning of
senseval3.d001.s030.t001	3) imply as a possibilityThe word "suggests" in the sentence implies that the theory implies or implies a reason
senseval3.d001.s030.t002	1) a member of the Republican Party
senseval3.d001.s030.t003	1) proceed or get alongIn the given sentence, "fared" is a past tense verb form of the word
senseval3.d001.s030.t004	3) people who are believed to belong to the same genetic stock.
senseval3.d001.s030.t005	3) several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints)This definition is the most suitable
senseval3.d001.s031.t000	2) of or belonging to or characteristic of a particular locality or neighborhood.This definition best fits the context of the sentence,
senseval3.d001.s031.t003	1) of or relating to or belonging to a nation or country.
senseval3.d001.s031.t004	2) a line of argument rationalizing the course of action of a government.This definition is the most suitable for the context
senseval3.d001.s031.t005	1) the act that results in something coming to be.In this context, "making" refers to the act of creating
senseval3.d001.s031.t007	4) a deliberative or legislative or administrative or judicial assemblyIn this context, the sentence is referring to the U.S
senseval3.d001.s031.t009	1) regard something as probable or likely
senseval3.d001.s031.t010	1) a member of the Republican Party
senseval3.d001.s031.t011	1) disposed or inclined toward
senseval3.d001.s031.t012	1) carry out or participate in an activity; be involved in
senseval3.d001.s031.t013	1) relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area
senseval3.d001.s031.t015	2) belong to or relating to the Democratic Party
senseval3.d001.s031.t016	1) a person or thing having the same function or characteristics as another
senseval3.d001.s032.t000	1) derived from experiment and observation rather than theory
senseval3.d001.s032.t001	8) the act of bearing the weight of or strengthening
