senseval2.d000.s000.t000	The skillful and imaginative use of language or other media to express ideas and emotions.
senseval3.d001.s039.t011	Tasks or responsibilities assigned to a person or group, especially as part of a job or role.
senseval3.d001.s039.t013	Of or relating to a nation or countries considered as a whole; involving more than one state or nation.
senseval3.d001.s039.t014	A course or principle of action adopted or proposed by an organization or individual.
senseval3.d001.s039.t015	The process of creating or producing something, especially by combining or shaping materials or ideas.
senseval3.d001.s039.t016	Actions or things done, especially to achieve an aim.
senseval3.d001.s039.t018	In comparison; when considering or in relation to something else.
senseval3.d001.s039.t019	A room or set of rooms in a building used as a place for commercial, professional, or bureaucratic work.
senseval3.d001.s040.t000	A detailed inspection or investigation of something, typically for purposes of analysis or evaluation.
senseval3.d001.s040.t001	The act or process of making or becoming different; alteration or modification.
senseval3.d001.s040.t002	Of or relating to a particular person; individual.
senseval3.d001.s040.t003	The act of making up one's mind about something after consideration; the resolution to act in a certain way.
senseval3.d001.s040.t004	The exercise of power or authority over someone or something; the state of being in charge or having command.
senseval3.d001.s040.t005	A group of people organized for a common purpose, such as a legislative assembly or a corporation.
senseval3.d001.s040.t007	A political group, especially one of two or more groups that contest elections for public office.
senseval3.d001.s040.t008	Disclose (facts or information) previously unknown or secret; make (something) known.
senseval3.d001.s040.t009	Of or relating to a particular person; individual.
senseval3.d001.s040.t010	Distinct or dissimilar aspects, qualities, or items; variations or disparities.
senseval3.d001.s040.t011	Having been observed, recorded, or mentioned previously.
senseval3.d001.s040.t012	A piece of furniture with a flat top and one or more legs, providing a level surface on which objects may be placed,
senseval3.d001.s040.t013	To regard something as being caused by; to ascribe a cause, source, or reason to.
senseval3.d001.s040.t015	The exercise of power or authority over someone or something; the state of being in charge or having command.
senseval3.d001.s040.t016	A member or supporter of the Democratic Party, one of the two major contemporary political parties in the United States, which is generally
senseval3.d001.s040.t017	To use or perform (a right, power, or function).
senseval3.d001.s040.t019	The relative social, professional, or other standing of someone or something.
senseval3.d001.s040.t020	In addition to; besides; apart from.
senseval3.d001.s040.t021	Assets or materials that can be used to function effectively, especially money, materials, staff, and other assets that can be used
senseval3.d001.s040.t022	A group of people appointed for a specific function, typically consisting of members of a larger group such as a legislative body, and
senseval3.d001.s040.t023	A group of people employed in an organization, business, or institution.
senseval3.d001.s041.t001	A separate or individual item that is part of a larger whole or collection.
senseval3.d001.s041.t002	Information or facts that help to prove or disprove something.
senseval3.d001.s041.t003	Keeping (something) in a specified state or condition.
senseval3.d001.s041.t004	In addition to what has been mentioned or is known; besides.
senseval3.d001.s041.t005	Elements or circumstances that contribute to a result or situation; variables that are taken into account in a calculation or analysis.
senseval3.d001.s041.t006	In mathematics or physics, a quantity that does not change or vary; a fixed value.
senseval3.d001.s041.t007	The fact or condition of holding an office or position, especially in politics.
senseval3.d001.s041.t008	Favorable circumstances or conditions that help to make something easier or more successful.
senseval3.d001.s041.t009	Of or relating to a particular region or area, especially in terms of its distinct characteristics, culture, or economy.
senseval3.d001.s041.t010	Elements or circumstances that contribute to a result or situation; variables that are taken into account in a calculation or analysis.
senseval3.d001.s041.t011	The result or amount of change when one quantity is subtracted from another.
senseval3.d001.s041.t012	Of or relating to the general public; widespread or common among the public.
senseval3.d001.s041.t013	The formal expression of a choice or opinion in a ballot or poll.
senseval3.d001.s041.t014	A member or supporter of the Republican Party, one of the two major contemporary political parties in the United States, which is generally
senseval3.d001.s041.t015	Of or relating to the president or the presidency; pertaining to the office or term of the president of a country.
senseval3.d001.s041.t017	A person who is seeking election to a public office.
senseval3.d001.s041.t018	Politically organized territories within a country, each having its own government but subject to the central authority of the nation.
senseval3.d001.s041.t019	Carrying out or performing (an activity, event, or process).
senseval3.d001.s041.t020	A formal group decision-making process by which a population chooses an individual to hold public office.
senseval3.d001.s041.t021	To result or prove to be as stated or expected after investigation or consideration.
senseval3.d001.s041.t022	Denoting or characterized by a beneficial, constructive, or favorable effect or tendency.
senseval3.d001.s041.t023	A relation or expression involving one or more variables that produces a single output value for each input value.
senseval3.d001.s041.t027	A heavy load, especially one that is difficult to bear or causes hardship.
senseval3.d001.s041.t028	A U.S. state, one of the 50 constituent political entities of the United States of America, each having its own
senseval3.d001.s041.t029	Advancing or tending to become more advanced in structure or organization; evolving or developing toward greater complexity or improvement.
senseval3.d001.s041.t031	To affect or impact (someone or something) in a specified way.
senseval3.d001.s041.t032	Of a person or thing, having a greater amount, degree, or quality than others of the same kind; above the average
senseval3.d001.s041.t034	Politically organized territories within a country, each having its own government but subject to the central authority of the nation.
senseval3.d001.s042.t000	To place or position something in a particular location or situation.
senseval3.d001.s042.t001	A person who is competing for a position, especially in an election.
senseval3.d001.s042.t002	The elected head of state and head of government in a republic, typically elected to a fixed term of office and holding significant executive
senseval3.d001.s042.t003	To regard or consider in a specified way.
senseval3.d001.s042.t005	A member or supporter of the Republican Party, one of the two major contemporary political parties in the United States, which is generally
senseval3.d001.s042.t006	A person who is competing for a position, especially in an election.
senseval3.d001.s042.t009	Causing or capable of causing very great pain or serious injury; extremely intense or unendurable.
senseval3.d001.s043.t000	Seems to be the case; gives the impression of being.
senseval3.d001.s043.t001	To assume or adopt (a particular form, character, or quality).
senseval3.d001.s043.t002	Being identical or indistinguishable in nature, form, or quality.
senseval3.d001.s043.t007	A position or stage in a scale or hierarchy; a degree of intensity or importance.
senseval3.d001.s043.t008	Of or relating to a federation or a federal government, which is a political system where a group of states or regions are united
senseval3.d001.s043.t009	A position or stage in a scale or hierarchy; a degree of intensity or importance.
senseval3.d001.s044.t003	In the context of political divisions or affiliations, "lines" refers to the distinction or separation between different political parties or factions
senseval3.d001.s044.t004	Opposite in order, direction, or effect; contrary.
senseval3.d001.s045.t001	A systematic and formal inquiry or study carried out with the aim of establishing facts and reaching new conclusions.
senseval3.d001.s045.t002	To make (something) known or evident; show or demonstrate.
senseval3.d001.s045.t003	Keeping something at a certain level or in a certain state; maintaining.
senseval3.d001.s045.t004	Besides or in addition to the one already mentioned or known about; another.
senseval3.d001.s045.t005	Elements, circumstances, or conditions that contribute to a result or outcome.
senseval3.d001.s045.t006	In mathematics or physics, a value that does not change.
senseval3.d001.s045.t007	The result or amount of change that occurs when one quantity is subtracted from another.
senseval3.d001.s045.t008	A politically organized body of people usually occupying a defined territory, ruled by an elected or hereditary leader and having a fixed population
senseval3.d001.s045.t009	Of great importance, significance, or influence; principal.
senseval3.d001.s045.t010	An organized group of people with similar political aims and opinions, especially one that forms part of a government.
senseval3.d001.s045.t011	An expression of a person's choice or opinion in a formal or official action, such as an election.
senseval3.d001.s045.t012	Proceeding or moving in a specified direction; traveling or being carried along a course.
senseval3.d001.s045.t013	A member or supporter of the Republican Party, one of the two major contemporary political parties in the United States, which is generally
senseval3.d001.s045.t015	A person who is nominated for election or appointment to a public office or position.
senseval3.d001.s045.t016	A member or supporter of the Republican Party, one of the two major contemporary political parties in the United States, which is generally
senseval3.d001.s045.t017	The proportion or percentage of a whole that is owned, possessed, or controlled by a person or group.
senseval3.d001.s045.t019	A legislative assembly or chamber, especially one of the two chambers of a bicameral legislature.
senseval3.d001.s045.t020	Denoting or expressing approval or agreement; affirmative.
senseval3.d001.s045.t021	A relation or expression involving one or more variables, especially one that gives the value of one variable in terms of the values of
senseval3.d001.s045.t022	A politically organized body of people usually occupying a defined territory, ruled by an elected or hereditary leader and having a fixed population
senseval3.d001.s046.t001	Of or relating to a nation as a whole, especially as a political entity; national.
senseval3.d001.s046.t004	A position or stage in a scale or hierarchy.
senseval3.d001.s046.t005	A piece or segment of something, especially one that is considered to be a component of a larger whole.
senseval3.d001.s046.t006	Not based on or in accordance with reason or logic; illogical.
senseval3.d001.s046.t007	The way in which one acts or conducts oneself, especially toward others.
senseval3.d001.s046.t009	To show (a feeling or an emotion) by one's acts or appearance: "she displayed her anger by slamming the door
senseval3.d001.s046.t012	Based on reason; not illogical: a rational argument.
senseval3.d002.s000.t000	Of great or seemingly endless duration; lasting for an extended period of time.
senseval3.d002.s000.t002	The period of darkness in each twenty-four hours; the time from sunset to sunrise.
senseval3.d002.s000.t003	Causing great and often sudden damage or destruction; catastrophic.
senseval3.d002.s000.t004	A sudden and violent shaking of the ground, sometimes causing great destruction, as a result of movements within the earth's crust or
senseval3.d002.s000.t005	People who live in a particular place, especially as permanent members of a community.
senseval3.d002.s000.t006	To look earnestly or carefully for (something), especially over a wide area or for a long time.
senseval3.d002.s000.t007	A state of physical ease and freedom from pain or constraint; ease of mind; consolation or solace in distress or misfortune
senseval3.d002.s000.t008	Comfort or consolation in a time of distress or sadness.
senseval3.d002.s001.t001	The front panel of a computer or other electronic device on which text and images are displayed.
senseval3.d002.s002.t001	To go or come (some distance) by foot, vehicle, or other means of transportation.
senseval3.d002.s002.t003	Electronic devices for storing and processing data, typically in binary form, according to instructions given to it in a variable program.
senseval3.d002.s002.t007	To connect or join (two or more things) so that they are in communication or can be used together.
senseval3.d002.s002.t008	Electronic devices for storing and processing data, typically in binary form, according to instructions given to it in a variable program.
senseval3.d002.s003.t000	Producing powerful feelings or strong, clear images in the mind; striking, bright, or intense in color or description.
senseval3.d002.s003.t002	Arrived or was transmitted (as a message or signal).
senseval3.d002.s003.t004	Relating to, using, or generated by electrons or electronic devices.
senseval3.d002.s004.t001	Individuals who have registered and are paying for access to a service, publication, or content, typically on a regular basis.
senseval3.d002.s004.t002	Reside or have one's permanent home in a specified place.
senseval3.d002.s005.t002	A unit of time equal to 60 minutes or 3,600 seconds, commonly used to measure the duration of events.
senseval3.d002.s005.t003	Came is the past tense of the verb "come," which means to move or travel toward or into a place.
senseval3.d002.s005.t004	To be full of or swarming with; abound with.
senseval3.d002.s005.t005	Feeling or showing strong feelings, especially of affection, tenderness, or sadness.
senseval3.d002.s005.t007	Information or accounts of news, events, or developments, typically presented in writing or broadcast through media.
senseval3.d002.s006.t001	Relating to, using, or generated by the flow of electrons or other charged particles, especially as a means of storing,
senseval3.d002.s006.t002	The movement of people or vehicles in transit, especially on roads or in a particular area.
senseval3.d002.s007.t000	The indefinite continued progress of existence and events in the past, present, and future regarded as a whole: a concept of which
senseval3.d002.s007.t001	The indefinite continued progress of existence and events in the past, present, and future regarded as a whole: a concept of which
senseval3.d002.s007.t004	Individuals who have registered and are paying for access to a service, publication, or online content.
senseval3.d002.s007.t005	To employ for some purpose; put into service: use a machine.
senseval3.d002.s007.t006	To recognize or establish (someone or something) as being a particular person or thing.
senseval3.d002.s011.t000	Broadly paved roads in a city or town, typically lined with trees.
senseval3.d002.s011.t002	A level surface forming a storey of a building, typically one of a series of such surfaces at different heights.
senseval3.d002.s011.t003	Of a person or thing: having lived for a long time; no longer young or new.
senseval3.d002.s011.t004	A structure with a roof and walls, such as a house, school, factory, or store, that is built for a
senseval3.d002.s011.t005	An organ in the chest of humans and other animals which pumps blood through the blood vessels and to all parts of the body.
senseval3.d002.s012.t000	Having dropped from a higher to a lower level or position; descended.
senseval3.d002.s012.t001	A large printed picture or notice, typically displayed in a public place for advertising or information.
senseval3.d002.s012.t002	A rigid structure that surrounds or encloses something, typically made of wood, metal, or plastic, and often used to display
senseval3.d002.s012.t003	A hard, brittle substance, typically transparent or translucent, made by fusing sand with soda, lime, and sometimes other ingredients
senseval3.d002.s012.t004	The bottom surface of a room on which one stands or walks, typically covered with wood, tile, or carpet.
senseval3.d002.s012.t006	Not closed or fastened; not sealed or covered.
senseval3.d002.s012.t007	The bottom surface of a room on which one stands or walks, typically covered with wood, tile, or carpet.
senseval3.d002.s015.t000	Regarded with special pleasure, affection, or esteem; preferred above all others.
senseval3.d002.s015.t001	Staying in a place or delaying action until a particular time or event.
senseval3.d002.s015.t002	A competitive activity governed by a set of rules or customs, especially one played by two or more people as a pastime or
senseval3.d002.s015.t003	The beginning or commencement of an event, process, or period of time.
senseval3.d002.s016.t000	Perceived or experienced (something) through the senses or emotions.
senseval3.d002.s016.t002	To start to happen or exist; come into being or operation.
senseval3.d002.s016.t003	To take a brief or hurried look at something.
senseval3.d002.s016.t004	A piece of furniture with a flat top and one or more legs, providing a level surface on which objects may be placed.
senseval3.d002.s016.t005	At or into the position immediately adjoining or following; beside or adjacent to.
senseval3.d002.s016.t006	To form one's features into a pleased, kind, or amused expression, typically with the corners of the mouth turned up and
senseval3.d002.s016.t007	Feeling or showing that one has done something wrong or has failed to live up to one's own standards or someone else's
senseval3.d002.s016.t009	To say something with one's mouth but not audibly, typically to oneself or to another person in a way that is not
senseval3.d002.s016.t010	Sounds or a combination of sounds uttered by a person to express an idea or feeling.
senseval3.d002.s016.t011	A sudden and violent shaking of the ground, sometimes causing great destruction, as a result of movements within the earth's crust or
senseval3.d002.s017.t000	Of considerable or relatively great extent from end to end; measuring a great distance in length, duration, or degree.
senseval3.d002.s017.t001	To need or use (a particular length of time) for a particular purpose or to achieve a particular result.
senseval3.d002.s017.t003	To move or go past a particular place or point.
senseval3.d002.s018.t000	An occasion or instance of something happening, especially one that is measured or counted.
senseval3.d002.s018.t001	Became or was transformed into a particular state or condition.
senseval3.d002.s018.t002	A structure with a roof and walls, such as a house, school, factory, or store, that is built for people
senseval3.d002.s018.t003	Began to do something; commenced.
senseval3.d002.s018.t004	A rapid to and fro or back and forth movement, typically caused by an earthquake, tremor, or other force.
senseval3.d002.s018.t005	A young human being below the age of puberty or below the legal age of majority.
senseval3.d002.s018.t006	A small plaything for a child or young animal, typically designed to be held in the hand and often moved or manipulated in
senseval3.d002.s018.t007	A solid piece of hard material, such as wood or plastic, typically having flat sides and used for building or playing.
senseval3.d002.s018.t008	To throw or move (something) with a quick, forceful motion, typically up and down or from side to side.
senseval3.d002.s021.t000	A building containing collections of books, periodicals, and sometimes films and recorded music for people to read, borrow, or refer
senseval3.d002.s021.t001	To be struck or affected by something, especially suddenly or unexpectedly.
senseval3.d002.s022.t000	Having no end or limit; infinite or interminable.
senseval3.d002.s022.t001	A unit of time equal to 1/60th of a minute or 3600/24/60 seconds.
senseval3.d002.s022.t002	Feeling curiosity or doubt about something; being in a state of uncertainty or contemplation.
senseval3.d002.s022.t004	A transparent opening in a wall or roof that admits light and air and allows people to see out.
senseval3.d002.s022.t005	To bend, give way, or break under strain or pressure.
senseval3.d002.s022.t006	To cause (something) to fall or be thrown down in large quantities or numbers.
senseval3.d002.s022.t007	A hard, brittle substance, typically transparent or translucent, made by fusing sand with soda, lime, and sometimes other ingredients
senseval3.d002.s023.t001	Written or printed works consisting of pages glued or sewn together along one side and bound in covers, typically with a title and
senseval3.d002.s023.t002	To move downward, typically rapidly and freely without control, from a higher to a lower level: "The books fell from the
senseval3.d002.s024.t001	A colored substance that is spread over a surface and dries to leave a thin decorative or protective coating.
senseval3.d002.s024.t002	A building or room where goods are manufactured or repaired, or where a particular service is provided.
senseval3.d002.s024.t003	The process of combustion in which a substance reacts rapidly with oxygen and gives off heat, light, and often smoke.
senseval3.d002.s024.t004	To cause (something) to go or be in a specified direction or to a specified place.
senseval3.d002.s024.t006	A large, visible mass of condensed water vapor floating in the atmosphere, typically high above the ground.
senseval3.d002.s024.t007	Of a color produced by the absence or complete absorption of light, having no reflection, and appearing dark or void.
senseval3.d002.s024.t008	A collection of airborne solid and liquid particulates and gases emitted when a material undergoes combustion or pyrolysis, together
senseval3.d002.s024.t009	The invisible gaseous substance surrounding the earth, a mixture mainly of oxygen and nitrogen.
senseval3.d002.s027.t001	In good health; not sick or injured. Satisfactory or acceptable in quality, quantity, or degree.
senseval3.d002.s028.t000	A large structure with a roof and walls, such as a house, school, factory, or store, that is built for
senseval3.d002.s028.t001	Vibrate or move with a shaking motion.
senseval3.d002.s028.t002	In a very intense or extreme manner; very much.
senseval3.d002.s028.t003	Continued to do or remain in a specified state.
senseval3.d002.s028.t004	Progressing in a particular state or condition; becoming more intense or severe.
senseval3.d002.s029.t001	To burst or shatter violently and noisily as a result of rapid combustion, pressure, or other force.
senseval3.d002.s029.t002	The process of combustion in which something is consumed by fire, characterized by the emission of light, heat, and smoke.
senseval3.d002.s029.t004	Matters, events, or circumstances, especially when considered collectively.
senseval3.d002.s029.t005	Free from disturbance; tranquil.
senseval3.d002.s030.t000	A large number or quantity of something.
senseval3.d002.s030.t001	A road vehicle, typically with four wheels, powered by an internal combustion engine or electric motor and able to carry a small number
senseval3.d002.s030.t002	Devices that emit a loud sound or signal to warn of danger or to alert people to a specific situation.
senseval3.d002.s030.t003	To stop functioning or to cease to operate, especially suddenly or unexpectedly. In the context of an alarm, it refers to the
senseval3.d002.s031.t000	Domesticated small carnivorous mammals (Felis catus) with soft fur, a short snout, and retractile
senseval3.d002.s031.t001	In good health; not injured or ill. Satisfactory or acceptable in quality, quantity, or degree.
senseval3.d002.s031.t002	Feeling or showing anxiety, apprehension, or unease about something with an uncertain outcome.
senseval3.d002.s034.t001	A process in which a substance combines chemically with oxygen from the air and typically gives out bright light, heat, and smoke
senseval3.d002.s035.t001	A substance used to occupy space or to make something full, such as sand, soil, or concrete.
senseval3.d002.s035.t002	To change (a solid or a semi-solid) into a liquid, especially by heating or by mixing with a liquid.
senseval3.d002.s036.t000	An adult human female.
senseval3.d002.s036.t003	Having the power, skill, means, or opportunity to do something.
senseval3.d002.s036.t004	To move at a regular pace by lifting and setting down each foot in turn, never having both feet off the ground at once
senseval3.d002.s036.t005	An opening in the wall or roof of a building or vehicle that is fitted with glass or other transparent material in a frame to
senseval3.d002.s036.t007	A level surface forming part of a room on which one stands or walks, typically covered with wood, stone, or tile.
senseval3.d002.s036.t008	A public road in a city or town, typically with buildings on one or both sides.
senseval3.d002.s036.t009	A horizontal plane or position, especially one that is used as a reference point for measuring height or depth.
senseval3.d002.s037.t000	A building for human habitation, especially one that is lived in by a family or small group of people, typically one that
senseval3.d002.s037.t001	The solid surface of the earth; soil or land.
senseval3.d002.s040.t000	Operating and controlling the direction and speed of a motor vehicle.
senseval3.d002.s040.t001	A large, heavy motor vehicle used for transporting goods or materials, typically with a separate cab and an enclosed or open back.
senseval3.d002.s040.t002	Ceased to move or be in motion; brought to a halt.
senseval3.d002.s040.t003	A traffic signal displaying a red lamp, indicating that vehicles must stop.
senseval3.d002.s040.t004	The point where two converging lines or surfaces meet, typically forming an angle.
senseval3.d002.s040.t006	To cause to come violently into contact with (someone or something); to strike.
senseval3.d002.s041.t000	A piece or section of something, especially when considered in relation to the whole.
senseval3.d002.s041.t001	The action of observing something or someone carefully or for a long time.
senseval3.d002.s041.t003	To move rhythmically to and fro or from side to side, especially as a result of wind or water movement.
senseval3.d002.s041.t004	The upper part of the human body, supported by the neck, and containing the brain, eyes, ears, nose, mouth
senseval3.d002.s041.t005	A method, means, or opportunity to do something.
senseval3.d002.s041.t006	To operate and control the direction and speed of a motor vehicle.
senseval3.d002.s044.t000	A unit of length equal to 0.3048 meters, used primarily in the United States and some other countries that do
senseval3.d002.s044.t001	A raised structure extending from the shore into a body of water, used as a landing place for ships or boats, or as
senseval3.d002.s045.t001	Causing a strong emotional reaction, especially one of surprise, shock, or fear; striking or impressive in appearance, effect,
senseval3.d002.s046.t001	Very narrow, almost invisible, like a fine line.
senseval3.d002.s046.t002	Long, narrow openings or fissures in a solid surface or material.
senseval3.d002.s047.t000	To spoil or destroy the quality, value, or condition of something.
senseval3.d002.s047.t001	An expletive used to express strong emotion or emphasis.
senseval3.d002.s050.t001	The ordinal number following the first, denoting position in a sequence or order.
senseval3.d002.s050.t002	A level surface forming part of a building, especially one that is used for walking on.
senseval3.d002.s051.t000	Perceived with the ear the sound made by someone or something: I heard a baby crying.
senseval3.d002.s051.t001	Divisions or sections of a whole, especially when they are not easily separable or distinguishable.
senseval3.d002.s051.t002	A structure with a roof and walls, such as a house, school, store, factory, or office, that is large
senseval3.d002.s051.t003	The upper part of the human body, from the top of the neck to the top of the skull.
senseval3.d002.s051.t004	The act of breaking or creaking suddenly and noisily, especially as a result of pressure or strain.
senseval3.d002.s052.t000	A product of mental activity; an idea, opinion, or belief formed in the mind.
senseval3.d002.s052.t001	To cease living; become dead.
senseval3.d002.s053.t000	To make a choice between two or more possibilities.
senseval3.d002.s053.t001	To go or travel toward or in the direction of a specified place in order to arrive there; move or travel so as to
senseval3.d002.s053.t002	A place where one lives; a residence.
senseval3.d002.s053.t003	A building for human habitation, especially one that is lived in by a single family or small group of people.
senseval3.d002.s053.t004	Long poles used to raise a building above the ground, especially to keep it dry in a swamp or flood-prone area.
senseval3.d002.s054.t000	Having made a choice or come to a resolution after consideration.
senseval3.d002.s055.t001	The ability to detect and perceive odors through the nose; an odor or odorant.
senseval3.d002.s055.t002	A substance in a state of matter that has neither a defined volume nor shape and expands freely to fill any container.
senseval3.d002.s055.t003	To move or go by (someone or something), especially quickly or without stopping.
senseval3.d002.s055.t005	The act of going from one side to the other of (a road, river, etc.).
senseval3.d002.s056.t000	To perceive with the eyes; to observe visually.
senseval3.d002.s056.t001	A visible mass of condensed water vapor floating in the atmosphere, typically high above the ground.
senseval3.d002.s056.t002	A broad inlet from the sea where the land curves inward, typically with a wide mouth.
senseval3.d002.s056.t004	An instance of combustion in which something is set on fire and continues to burn, often causing damage or destruction.
senseval3.d002.s057.t000	Past participle of feel: have perceived (something) with the sense of touch.
senseval3.d002.s058.t000	The rear part of the human body from the shoulders to the hips, typically regarded as the main support for the head and trunk
senseval3.d002.s058.t002	The terminal part of a person's arm beyond the wrist, including the palm, fingers, and thumb.
senseval3.d002.s058.t003	Rapid to and fro movement of the body or a part of the body, typically caused by nervousness, excitement, or
senseval3.d002.s059.t000	To have a particular opinion, belief, or idea about something.
senseval3.d002.s059.t003	The physical structure of a person or an animal, consisting of the bones and organs enclosed within the skin.
senseval3.d002.s059.t004	Rapidly moving back and forth or up and down, typically as a result of an earthquake, tremor, or other
senseval3.d002.s062.t000	To perceive with the eyes; to observe visually.
senseval3.d002.s062.t002	A building for human habitation, especially one that is lived in by a family or small group of people.
senseval3.d002.s062.t003	A broad inlet from the sea where the land curves inward, typically with a wide mouth.
senseval3.d002.s063.t000	Difficult to do, achieve, or endure; not easy.
senseval3.d002.s063.t001	To accept that something is true, real, or exists, especially when it is surprising or hard to understand.
senseval3.d002.s063.t002	An event or situation that is taking place or has taken place.
senseval3.d002.s066.t000	A structure with a roof and walls, such as a house, school, factory, or store, that is built for a
senseval3.d002.s066.t001	The point where two converging lines or surfaces meet, typically forming an angle. In the context of a building or room,
senseval3.d002.s066.t002	Caused harm or injury to; impaired or broken; not in good condition or working order.
senseval3.d002.s066.t003	Of an age considerably above middle age; advanced in years.
senseval3.d002.s066.t004	An adult human female.
senseval3.d002.s066.t005	Of an age considerably above middle age; advanced in years.
senseval3.d002.s066.t006	A female parent in relation to her child or children.
senseval3.d002.s067.t000	Bound written, printed, or blank sheets, pasted or sewn together along one side and protected by covers: a book
senseval3.d002.s068.t000	To input letters, words, numbers, or other symbols on a computer or typewriter by pressing keys.
senseval3.d002.s068.t001	The act of being in an upright position on one's feet.
senseval3.d002.s068.t002	The way in which someone or something is placed, arranged, or situated.
senseval3.d002.s072.t000	To experience (an emotion or physical sensation) by touching or being touched; perceive with the sense of touch.
senseval3.d002.s072.t001	An unspecified object, matter, or event; a thing in general.
senseval3.d002.s072.t002	To become aware of (something) by using one's sight or senses.
senseval3.d002.s072.t003	Unusual or unexpected in a way that is surprising or hard to understand.
senseval3.d002.s072.t004	A warm-blooded egg-laying vertebrate distinguished by the possession of feathers, wings, and a beak and (typically
senseval3.d002.s072.t005	The way in which a person or animal acts or conducts themselves, especially towards others.
senseval3.d002.s073.t000	A medium-sized waterbird with a broad blunt bill, short legs, webbed feet, and a waddling gait
senseval3.d002.s073.t001	A large group of insects, birds, or other animals gathered closely together.
senseval3.d002.s076.t000	Perceived or experienced (something) through the senses or emotions.
senseval3.d002.s076.t003	A unit of time equal to 1/60th of a minute or 1/3600th of an hour.
senseval3.d002.s077.t000	Lacking physical feeling or sensation; unable to feel pain or other sensations.
senseval3.d002.s080.t001	Appear or give the impression of being; suggest: "He seems happy."
senseval3.d002.s080.t002	A piece or section of something, especially when considered separately from the whole.
senseval3.d002.s080.t003	A human settlement that is larger than a village but smaller than a city, typically having a permanent population, its own local government
senseval3.d002.s081.t001	A telephone or a system of telephones, especially as a means of communication.
senseval3.d002.s081.t002	A state of untidiness or disorder; a confused or disorganized collection of things.
senseval3.d002.s081.t004	A fermented alcoholic beverage made from grapes or other fruits, typically of a deep red or purple color.
senseval3.d002.s081.t005	The bottom surfaces of rooms in a building, on which one may walk.
senseval3.d002.s081.t006	Of considerable or relatively great size, extent, or capacity; large.
senseval3.d002.s081.t007	Of a person or thing: having lived or existed for a long time; no longer young or new.
senseval3.d002.s082.t000	A slight trembling or shaking movement.
senseval3.d002.s082.t002	A building for human habitation, especially one that is lived in by a family or small group of people.
senseval3.d002.s082.t004	A unit of time equal to 60 seconds or 1/60th of an hour.
senseval3.d002.s082.t005	Not able to be predicted; not following a regular pattern or order.
senseval3.d002.s082.t006	Periods of time between events or actions.
senseval3.d002.s082.t007	A small rodent with a pointed snout, small rounded ears, and a long tail, typically found in fields, bur
senseval3.d002.s082.t008	Residing or dwelling in a particular place as one's home.
senseval3.d002.s082.t010	To have assumed or begun to have (a particular quality, state, or position).
senseval3.d002.s082.t011	A place of safety or shelter: a refuge.
senseval3.d002.s083.t001	Feeling or showing anxiety, sorrow, or pain.
senseval3.d002.s084.t001	To move smoothly and continuously in a particular direction, especially as a wave or mass.
senseval3.d002.s084.t002	A human settlement larger than a village but smaller than a city, typically having a permanent population, its own local government, and
senseval3.d002.s086.t000	Events or situations, especially those that are complex or difficult to deal with.
senseval3.d002.s086.t001	Become (more) difficult or serious.
senseval3.d002.s086.t002	To move at a speed faster than a walk, never having both or all the feet on the ground at the same time.
senseval3.d002.s086.t003	A hinged, sliding, or revolving barrier at the entrance to a building, room, or vehicle, or a part of
senseval3.d002.s086.t004	To pass or use (time) in a particular way or doing a particular activity.
senseval3.d002.s086.t005	Coming immediately after something in time or order.
senseval3.d002.s086.t007	A unit of time equal to 60 seconds or 1/60th of an hour.
senseval3.d002.s086.t008	To observe or look at (someone or something) carefully, especially for a period of time.
senseval3.d002.s086.t009	A block of baked clay used for building or paving.
senseval3.d002.s086.t011	The lower extremities of the legs below the ankles, on which a person stands or walks.
senseval3.d002.s086.t013	The seed-bearing part of a plant, typically consisting of colorful petals and a reproductive structure.
senseval3.d002.s086.t014	To move back and forth or up and down with a regular motion, especially in a way that resembles the movement of a flag
senseval3.d002.s086.t016	A strong, regular, repeated pattern of movement or sound.
senseval3.d002.s087.t000	Causing great surprise or wonder; astonishing.
senseval3.d002.s087.t001	Cause (someone or something) to be in a particular state, condition, or situation.
senseval3.d002.s087.t002	A person in general; people in general; used to refer to any person in a particular situation.
senseval3.d002.s087.t004	A person in general; people in general; used to refer to any person in a particular situation.
senseval3.d002.s088.t000	To have or give the appearance of; seem.
senseval3.d002.s088.t001	Not showing or feeling nervousness, anger, or other strong emotions; peaceful and quiet.
senseval3.d002.s088.t002	Remarkably strange or unusual, especially so as to be unsettling; dreamlike.
senseval3.d002.s088.t003	Of little height or small in amount, degree, or intensity.
senseval3.d002.s088.t004	A position on a scale of measurement or degree of intensity.
senseval3.d002.s088.t005	A state of being bewildered or unclear in one's mind about something; lack of understanding or certainty.
senseval3.d002.s088.t007	To persist in an activity or process; to go on or carry on.
senseval3.d002.s091.t001	Appear or give the impression of being a certain way, especially by showing only part of one's feelings or character.
senseval3.d002.s091.t003	The period of darkness in each twenty-four hours; the time from sunset to sunrise.
senseval3.d002.s091.t004	Engaging in an activity or process; performing a task or duty.
senseval3.d002.s091.t007	Any of various vibrations that travel through the air or another medium and can be heard when they reach a person's or animal's
senseval3.d002.s091.t008	Sources of illumination, such as lamps or the natural light from the sun, used to make a place visible or to highlight something
senseval3.d002.s092.t000	A person whom one knows and with whom one has a bond of mutual affection, typically exclusive of sexual or family relations.
